in s,C4 in V
-3.9966400E-05,1.25781E-05
-3.9783200E-05,3.21094E-05
-3.9600000E-05,-6.95312E-06
-3.9416800E-05,-4.60156E-05
-3.9233600E-05,-4.60156E-05
-3.9050400E-05,-6.95312E-06
-3.8867200E-05,1.25781E-05
-3.8684000E-05,-8.50781E-05
-3.8500800E-05,-6.95312E-06
-3.8317600E-05,-6.95312E-06
-3.8134400E-05,-2.64844E-05
-3.7951200E-05,-6.95312E-06
-3.7768000E-05,-6.95312E-06
-3.7584800E-05,3.21094E-05
-3.7401600E-05,-6.55469E-05
-3.7218400E-05,-2.64844E-05
-3.7035200E-05,1.25781E-05
-3.6852000E-05,-2.64844E-05
-3.6668800E-05,-6.55469E-05
-3.6485600E-05,-4.60156E-05
-3.6302400E-05,-4.60156E-05
-3.6119200E-05,-4.60156E-05
-3.5936000E-05,-2.64844E-05
-3.5752800E-05,-6.95312E-06
-3.5569600E-05,1.25781E-05
-3.5386400E-05,-6.95312E-06
-3.5203200E-05,-4.60156E-05
-3.5020000E-05,1.25781E-05
-3.4836800E-05,-6.55469E-05
-3.4653600E-05,-6.95312E-06
-3.4470400E-05,-2.64844E-05
-3.4287200E-05,-6.95312E-06
-3.4104000E-05,-2.64844E-05
-3.3920800E-05,-4.60156E-05
-3.3737600E-05,-2.64844E-05
-3.3554400E-05,-4.60156E-05
-3.3371200E-05,-4.60156E-05
-3.3188000E-05,1.25781E-05
-3.3004800E-05,-6.95312E-06
-3.2821600E-05,-6.55469E-05
-3.2638400E-05,-2.64844E-05
-3.2455200E-05,1.25781E-05
-3.2272000E-05,-4.60156E-05
-3.2088800E-05,-1.04609E-04
-3.1905600E-05,-2.64844E-05
-3.1722400E-05,-6.95312E-06
-3.1539200E-05,-4.60156E-05
-3.1356000E-05,-6.95312E-06
-3.1172800E-05,-2.64844E-05
-3.0989600E-05,-6.95312E-06
-3.0806400E-05,-6.95312E-06
-3.0623200E-05,3.21094E-05
-3.0440000E-05,-4.60156E-05
-3.0256800E-05,-4.60156E-05
-3.0073600E-05,-6.55469E-05
-2.9890400E-05,-6.95312E-06
-2.9707200E-05,1.25781E-05
-2.9524000E-05,-2.64844E-05
-2.9340800E-05,-4.60156E-05
-2.9157600E-05,-6.55469E-05
-2.8974400E-05,-2.64844E-05
-2.8791200E-05,3.21094E-05
-2.8608000E-05,-8.50781E-05
-2.8424800E-05,-6.55469E-05
-2.8241600E-05,-6.55469E-05
-2.8058400E-05,-6.55469E-05
-2.7875200E-05,-6.55469E-05
-2.7692000E-05,-8.50781E-05
-2.7508800E-05,-1.04609E-04
-2.7325600E-05,-6.55469E-05
-2.7142400E-05,-4.60156E-05
-2.6959200E-05,-2.64844E-05
-2.6776000E-05,-4.60156E-05
-2.6592800E-05,7.11719E-05
-2.6409600E-05,-1.04609E-04
-2.6226400E-05,-4.60156E-05
-2.6043200E-05,-1.04609E-04
-2.5860000E-05,-6.95312E-06
-2.5676800E-05,-2.64844E-05
-2.5493600E-05,1.25781E-05
-2.5310400E-05,-6.95312E-06
-2.5127200E-05,3.21094E-05
-2.4944000E-05,-6.55469E-05
-2.4760800E-05,1.25781E-05
-2.4577600E-05,-4.60156E-05
-2.4394400E-05,-6.55469E-05
-2.4211200E-05,-2.64844E-05
-2.4028000E-05,-2.64844E-05
-2.3844800E-05,-4.60156E-05
-2.3661600E-05,-6.95312E-06
-2.3478400E-05,-4.60156E-05
-2.3295200E-05,-4.60156E-05
-2.3112000E-05,-4.60156E-05
-2.2928800E-05,-6.55469E-05
-2.2745600E-05,-4.60156E-05
-2.2562400E-05,1.25781E-05
-2.2379200E-05,3.21094E-05
-2.2196000E-05,-6.95312E-06
-2.2012800E-05,-6.55469E-05
-2.1829600E-05,-6.95312E-06
-2.1646400E-05,-4.60156E-05
-2.1463200E-05,-2.64844E-05
-2.1280000E-05,-4.60156E-05
-2.1096800E-05,1.25781E-05
-2.0913600E-05,-4.60156E-05
-2.0730400E-05,-6.95312E-06
-2.0547200E-05,-6.55469E-05
-2.0364000E-05,-2.64844E-05
-2.0180800E-05,-2.64844E-05
-1.9997600E-05,1.25781E-05
-1.9814400E-05,-6.55469E-05
-1.9631200E-05,-4.60156E-05
-1.9448000E-05,-2.64844E-05
-1.9264800E-05,-2.64844E-05
-1.9081600E-05,-6.55469E-05
-1.8898400E-05,-4.60156E-05
-1.8715200E-05,-6.95312E-06
-1.8532000E-05,-6.95312E-06
-1.8348800E-05,-6.55469E-05
-1.8165600E-05,-6.95312E-06
-1.7982400E-05,-4.60156E-05
-1.7799200E-05,1.25781E-05
-1.7616000E-05,-1.04609E-04
-1.7432800E-05,-6.55469E-05
-1.7249600E-05,-6.95312E-06
-1.7066400E-05,-6.95312E-06
-1.6883200E-05,3.21094E-05
-1.6700000E-05,-4.60156E-05
-1.6516800E-05,-4.60156E-05
-1.6333600E-05,-6.55469E-05
-1.6150400E-05,-1.24141E-04
-1.5967200E-05,-2.64844E-05
-1.5784000E-05,-6.95312E-06
-1.5600800E-05,-6.55469E-05
-1.5417600E-05,-2.64844E-05
-1.5234400E-05,-8.50781E-05
-1.5051200E-05,-6.95312E-06
-1.4868000E-05,-2.64844E-05
-1.4684800E-05,-4.60156E-05
-1.4501600E-05,-4.60156E-05
-1.4318400E-05,-4.60156E-05
-1.4135200E-05,-2.64844E-05
-1.3952000E-05,-2.64844E-05
-1.3768800E-05,5.16406E-05
-1.3585600E-05,-6.55469E-05
-1.3402400E-05,-4.60156E-05
-1.3219200E-05,-6.55469E-05
-1.3036000E-05,-6.95312E-06
-1.2852800E-05,-4.60156E-05
-1.2669600E-05,1.25781E-05
-1.2486400E-05,-6.95312E-06
-1.2303200E-05,-2.64844E-05
-1.2120000E-05,-8.50781E-05
-1.1936800E-05,-2.64844E-05
-1.1753600E-05,-6.95312E-06
-1.1570400E-05,-6.55469E-05
-1.1387200E-05,-6.95312E-06
-1.1204000E-05,1.25781E-05
-1.1020800E-05,-4.60156E-05
-1.0837600E-05,3.21094E-05
-1.0654400E-05,-1.04609E-04
-1.0471200E-05,1.25781E-05
-1.0288000E-05,-4.60156E-05
-1.0104800E-05,-6.55469E-05
-9.9216000E-06,-2.64844E-05
-9.7384000E-06,1.25781E-05
-9.5552000E-06,-2.64844E-05
-9.3720000E-06,1.25781E-05
-9.1888000E-06,3.21094E-05
-9.0056000E-06,-2.64844E-05
-8.8224000E-06,-2.64844E-05
