in s,C4 in V
-4.2366400E-05,-5.31445E-05
-4.2183200E-05,-6.29102E-05
-4.2000000E-05,-1.40820E-05
-4.1816800E-05,-5.31445E-05
-4.1633600E-05,-2.38477E-05
-4.1450400E-05,-4.33789E-05
-4.1267200E-05,-5.31445E-05
-4.1084000E-05,-3.36133E-05
-4.0900800E-05,-5.31445E-05
-4.0717600E-05,-3.84961E-05
-4.0534400E-05,-5.80273E-05
-4.0351200E-05,-3.84961E-05
-4.0168000E-05,-4.33789E-05
-3.9984800E-05,-5.31445E-05
-3.9801600E-05,-5.31445E-05
-3.9618400E-05,-3.84961E-05
-3.9435200E-05,-3.36133E-05
-3.9252000E-05,-5.80273E-05
-3.9068800E-05,-4.33789E-05
-3.8885600E-05,-3.84961E-05
-3.8702400E-05,-4.33789E-05
-3.8519200E-05,-3.84961E-05
-3.8336000E-05,-3.84961E-05
-3.8152800E-05,-4.31641E-06
-3.7969600E-05,-7.75586E-05
-3.7786400E-05,-4.82617E-05
-3.7603200E-05,5.66406E-07
-3.7420000E-05,-1.89648E-05
-3.7236800E-05,-1.89648E-05
-3.7053600E-05,-9.19922E-06
-3.6870400E-05,-2.87305E-05
-3.6687200E-05,-2.87305E-05
-3.6504000E-05,-4.31641E-06
-3.6320800E-05,-2.38477E-05
-3.6137600E-05,-3.36133E-05
-3.5954400E-05,-1.40820E-05
-3.5771200E-05,-1.89648E-05
-3.5588000E-05,-5.80273E-05
-3.5404800E-05,-1.40820E-05
-3.5221600E-05,-2.87305E-05
-3.5038400E-05,-3.36133E-05
-3.4855200E-05,-3.36133E-05
-3.4672000E-05,-1.40820E-05
-3.4488800E-05,-5.31445E-05
-3.4305600E-05,-6.29102E-05
-3.4122400E-05,-4.82617E-05
-3.3939200E-05,-3.84961E-05
-3.3756000E-05,-2.87305E-05
-3.3572800E-05,-5.80273E-05
-3.3389600E-05,-7.26758E-05
-3.3206400E-05,-4.33789E-05
-3.3023200E-05,-8.73242E-05
-3.2840000E-05,-8.24414E-05
-3.2656800E-05,-9.19922E-06
-3.2473600E-05,-3.84961E-05
-3.2290400E-05,-9.22070E-05
-3.2107200E-05,-3.84961E-05
-3.1924000E-05,-4.33789E-05
-3.1740800E-05,-3.36133E-05
-3.1557600E-05,-5.31445E-05
-3.1374400E-05,-5.31445E-05
-3.1191200E-05,-1.89648E-05
-3.1008000E-05,-7.75586E-05
-3.0824800E-05,-7.75586E-05
-3.0641600E-05,-2.38477E-05
-3.0458400E-05,-1.89648E-05
-3.0275200E-05,-4.82617E-05
-3.0092000E-05,-5.31445E-05
-2.9908800E-05,-5.31445E-05
-2.9725600E-05,-5.80273E-05
-2.9542400E-05,-4.82617E-05
-2.9359200E-05,-5.80273E-05
-2.9176000E-05,-6.29102E-05
-2.8992800E-05,-3.84961E-05
-2.8809600E-05,-9.22070E-05
-2.8626400E-05,-7.75586E-05
-2.8443200E-05,-5.31445E-05
-2.8260000E-05,-6.77930E-05
-2.8076800E-05,-9.70898E-05
-2.7893600E-05,-7.75586E-05
-2.7710400E-05,-7.75586E-05
-2.7527200E-05,-5.80273E-05
-2.7344000E-05,-6.77930E-05
-2.7160800E-05,-7.26758E-05
-2.6977600E-05,-7.75586E-05
-2.6794400E-05,-4.82617E-05
-2.6611200E-05,-6.77930E-05
-2.6428000E-05,-7.26758E-05
-2.6244800E-05,-6.77930E-05
-2.6061600E-05,-8.24414E-05
-2.5878400E-05,-7.26758E-05
-2.5695200E-05,-8.73242E-05
-2.5512000E-05,-3.84961E-05
-2.5328800E-05,-5.80273E-05
-2.5145600E-05,-6.77930E-05
-2.4962400E-05,-9.22070E-05
-2.4779200E-05,-5.31445E-05
-2.4596000E-05,-7.75586E-05
-2.4412800E-05,-7.75586E-05
-2.4229600E-05,-6.77930E-05
-2.4046400E-05,-9.22070E-05
-2.3863200E-05,-6.77930E-05
-2.3680000E-05,-6.29102E-05
-2.3496800E-05,-6.29102E-05
-2.3313600E-05,-8.24414E-05
-2.3130400E-05,-7.75586E-05
-2.2947200E-05,-8.73242E-05
-2.2764000E-05,-7.75586E-05
-2.2580800E-05,-1.40820E-05
-2.2397600E-05,-7.26758E-05
-2.2214400E-05,-4.33789E-05
-2.2031200E-05,-4.33789E-05
-2.1848000E-05,-6.77930E-05
-2.1664800E-05,-6.77930E-05
-2.1481600E-05,-7.75586E-05
-2.1298400E-05,-5.80273E-05
-2.1115200E-05,-4.82617E-05
-2.0932000E-05,-7.75586E-05
-2.0748800E-05,-5.80273E-05
-2.0565600E-05,-4.82617E-05
-2.0382400E-05,-5.80273E-05
-2.0199200E-05,-7.75586E-05
-2.0016000E-05,-5.31445E-05
-1.9832800E-05,-6.29102E-05
-1.9649600E-05,-7.75586E-05
-1.9466400E-05,-8.73242E-05
-1.9283200E-05,-5.31445E-05
-1.9100000E-05,-5.80273E-05
-1.8916800E-05,-6.77930E-05
-1.8733600E-05,-8.24414E-05
-1.8550400E-05,-8.73242E-05
-1.8367200E-05,-6.77930E-05
-1.8184000E-05,-5.31445E-05
-1.8000800E-05,-8.24414E-05
-1.7817600E-05,-7.75586E-05
-1.7634400E-05,-1.01973E-04
-1.7451200E-05,-7.75586E-05
-1.7268000E-05,-5.80273E-05
-1.7084800E-05,-6.29102E-05
-1.6901600E-05,-7.26758E-05
-1.6718400E-05,-6.29102E-05
-1.6535200E-05,-8.24414E-05
-1.6352000E-05,-7.26758E-05
-1.6168800E-05,-6.29102E-05
-1.5985600E-05,-7.75586E-05
-1.5802400E-05,-6.29102E-05
-1.5619200E-05,-8.24414E-05
-1.5436000E-05,-9.70898E-05
-1.5252800E-05,-6.29102E-05
-1.5069600E-05,-3.84961E-05
-1.4886400E-05,-8.24414E-05
-1.4703200E-05,-8.24414E-05
-1.4520000E-05,-7.75586E-05
-1.4336800E-05,-7.26758E-05
-1.4153600E-05,-8.24414E-05
-1.3970400E-05,-1.01973E-04
-1.3787200E-05,-9.22070E-05
-1.3604000E-05,-6.77930E-05
-1.3420800E-05,-1.21504E-04
-1.3237600E-05,-1.06855E-04
-1.3054400E-05,-1.11738E-04
-1.2871200E-05,-5.80273E-05
-1.2688000E-05,-8.24414E-05
-1.2504800E-05,-1.01973E-04
-1.2321600E-05,-9.22070E-05
-1.2138400E-05,-8.24414E-05
-1.1955200E-05,-5.31445E-05
-1.1772000E-05,-1.01973E-04
-1.1588800E-05,-9.70898E-05
-1.1405600E-05,-7.26758E-05
-1.1222400E-05,-7.26758E-05
-1.1039200E-05,-9.70898E-05
-1.0856000E-05,-1.01973E-04
-1.0672800E-05,-1.36152E-04
-1.0489600E-05,-7.26758E-05
-1.0306400E-05,-8.73242E-05
-1.0123200E-05,-9.70898E-05
-9.9400000E-06,-5.80273E-05
-9.7568000E-06,-1.16621E-04
-9.5736000E-06,-1.01973E-04
-9.3904000E-06,-1.01973E-04
-9.2072000E-06,-1.01973E-04
-9.0240000E-06,-6.29102E-05
-8.8408000E-06,-9.70898E-05
-8.6576000E-06,-1.26387E-04
-8.4744000E-06,-9.22070E-05
-8.2912000E-06,-8.24414E-05
-8.1080000E-06,-9.22070E-05
-7.9248000E-06,-9.22070E-05
-7.7416000E-06,-8.24414E-05
-7.5584000E-06,-7.75586E-05
-7.3752000E-06,-5.80273E-05
-7.1920000E-06,-6.29102E-05
-7.0088000E-06,-7.75586E-05
-6.8256000E-06,-1.01973E-04
-6.6424000E-06,-8.73242E-05
-6.4592000E-06,-5.80273E-05
-6.2760000E-06,-7.26758E-05
-6.0928000E-06,-8.24414E-05
-5.9096000E-06,-7.75586E-05
-5.7264000E-06,-6.77930E-05
-5.5432000E-06,-8.73242E-05
-5.3600000E-06,-6.29102E-05
-5.1768000E-06,-7.75586E-05
-4.9936000E-06,-5.80273E-05
-4.8104000E-06,-5.31445E-05
-4.6272000E-06,-8.24414E-05
-4.4440000E-06,-7.75586E-05
-4.2608000E-06,-8.73242E-05
-4.0776000E-06,-5.80273E-05
-3.8944000E-06,-6.29102E-05
-3.7112000E-06,-1.11738E-04
-3.5280000E-06,-3.84961E-05
-3.3448000E-06,-7.75586E-05
-3.1616000E-06,-9.22070E-05
-2.9784000E-06,-6.29102E-05
-2.7952000E-06,-7.75586E-05
-2.6120000E-06,-5.80273E-05
-2.4288000E-06,-9.22070E-05
-2.2456000E-06,-7.75586E-05
-2.0624000E-06,-9.22070E-05
-1.8792000E-06,-7.26758E-05
-1.6960000E-06,-8.24414E-05
-1.5128000E-06,-4.82617E-05
-1.3296000E-06,-7.75586E-05
-1.1464000E-06,-1.01973E-04
-9.6320000E-07,-7.75586E-05
-7.8000000E-07,-1.01973E-04
-5.9680000E-07,-7.26758E-05
-4.1360000E-07,-1.01973E-04
-2.3040000E-07,-8.24414E-05
-4.7200000E-08,-6.77930E-05
1.3600000E-07,8.94121E-04
3.1920000E-07,9.18535E-04
5.0240000E-07,9.23418E-04
6.8560000E-07,9.23418E-04
8.6880000E-07,8.89238E-04
1.0520000E-06,9.28301E-04
1.2352000E-06,9.47832E-04
1.4184000E-06,9.03887E-04
1.6016000E-06,8.99004E-04
1.7848000E-06,8.89238E-04
1.9680000E-06,9.23418E-04
2.1512000E-06,9.08770E-04
2.3344000E-06,9.18535E-04
2.5176000E-06,9.08770E-04
2.7008000E-06,9.38066E-04
2.8840000E-06,8.99004E-04
3.0672000E-06,9.62480E-04
3.2504000E-06,9.13652E-04
3.4336000E-06,9.33184E-04
3.6168000E-06,9.23418E-04
3.8000000E-06,9.13652E-04
3.9832000E-06,8.94121E-04
4.1664000E-06,8.99004E-04
4.3496000E-06,9.33184E-04
4.5328000E-06,8.94121E-04
4.7160000E-06,9.08770E-04
4.8992000E-06,9.28301E-04
5.0824000E-06,8.94121E-04
5.2656000E-06,9.42949E-04
5.4488000E-06,9.28301E-04
5.6320000E-06,9.47832E-04
5.8152000E-06,8.99004E-04
5.9984000E-06,9.18535E-04
6.1816000E-06,9.47832E-04
6.3648000E-06,9.72246E-04
6.5480000E-06,8.89238E-04
6.7312000E-06,9.38066E-04
6.9144000E-06,9.23418E-04
7.0976000E-06,-3.36133E-05
7.2808000E-06,-8.73242E-05
7.4640000E-06,-5.80273E-05
7.6472000E-06,-4.82617E-05
7.8304000E-06,-7.26758E-05
8.0136000E-06,-4.33789E-05
8.1968000E-06,-2.38477E-05
8.3800000E-06,-7.75586E-05
8.5632000E-06,-8.24414E-05
8.7464000E-06,-9.22070E-05
8.9296000E-06,-7.75586E-05
9.1128000E-06,-4.82617E-05
9.2960000E-06,-6.77930E-05
9.4792000E-06,-8.24414E-05
9.6624000E-06,-7.75586E-05
9.8456000E-06,-9.22070E-05
1.0028800E-05,-7.26758E-05
1.0212000E-05,-7.75586E-05
1.0395200E-05,-5.80273E-05
1.0578400E-05,-9.70898E-05
1.0761600E-05,-6.29102E-05
1.0944800E-05,-1.11738E-04
1.1128000E-05,-1.01973E-04
1.1311200E-05,-9.70898E-05
1.1494400E-05,-6.77930E-05
1.1677600E-05,-8.73242E-05
1.1860800E-05,-8.24414E-05
1.2044000E-05,-8.73242E-05
1.2227200E-05,-1.16621E-04
1.2410400E-05,-1.16621E-04
1.2593600E-05,-5.80273E-05
1.2776800E-05,-6.77930E-05
1.2960000E-05,-7.75586E-05
1.3143200E-05,-1.11738E-04
1.3326400E-05,-9.70898E-05
1.3509600E-05,-8.73242E-05
1.3692800E-05,-1.11738E-04
1.3876000E-05,-1.26387E-04
1.4059200E-05,-9.70898E-05
1.4242400E-05,-8.24414E-05
1.4425600E-05,-1.11738E-04
1.4608800E-05,-8.24414E-05
1.4792000E-05,-1.01973E-04
1.4975200E-05,-9.70898E-05
1.5158400E-05,-1.06855E-04
1.5341600E-05,-1.16621E-04
1.5524800E-05,-9.70898E-05
1.5708000E-05,-9.70898E-05
1.5891200E-05,-1.26387E-04
1.6074400E-05,-1.01973E-04
1.6257600E-05,-9.70898E-05
1.6440800E-05,-8.73242E-05
1.6624000E-05,-8.73242E-05
1.6807200E-05,-1.16621E-04
1.6990400E-05,-1.16621E-04
1.7173600E-05,-1.21504E-04
1.7356800E-05,-9.22070E-05
1.7540000E-05,-1.11738E-04
1.7723200E-05,-1.06855E-04
1.7906400E-05,-7.26758E-05
1.8089600E-05,-1.06855E-04
1.8272800E-05,-6.77930E-05
1.8456000E-05,-1.01973E-04
1.8639200E-05,-1.16621E-04
1.8822400E-05,-5.80273E-05
1.9005600E-05,-1.01973E-04
1.9188800E-05,-7.26758E-05
1.9372000E-05,-8.24414E-05
1.9555200E-05,-7.26758E-05
1.9738400E-05,-7.75586E-05
1.9921600E-05,-6.29102E-05
2.0104800E-05,8.69707E-04
2.0288000E-05,9.52715E-04
2.0471200E-05,8.89238E-04
2.0654400E-05,8.94121E-04
2.0837600E-05,8.79473E-04
2.1020800E-05,8.94121E-04
2.1204000E-05,9.18535E-04
2.1387200E-05,8.74590E-04
2.1570400E-05,8.79473E-04
2.1753600E-05,9.13652E-04
2.1936800E-05,8.69707E-04
2.2120000E-05,9.38066E-04
2.2303200E-05,8.79473E-04
2.2486400E-05,9.18535E-04
2.2669600E-05,9.28301E-04
2.2852800E-05,9.28301E-04
2.3036000E-05,8.79473E-04
2.3219200E-05,9.08770E-04
2.3402400E-05,9.38066E-04
2.3585600E-05,9.38066E-04
2.3768800E-05,9.23418E-04
2.3952000E-05,9.13652E-04
2.4135200E-05,9.38066E-04
2.4318400E-05,9.42949E-04
2.4501600E-05,8.94121E-04
2.4684800E-05,8.94121E-04
2.4868000E-05,8.84355E-04
2.5051200E-05,9.03887E-04
2.5234400E-05,9.42949E-04
2.5417600E-05,9.13652E-04
2.5600800E-05,9.18535E-04
2.5784000E-05,9.18535E-04
2.5967200E-05,9.18535E-04
2.6150400E-05,9.42949E-04
2.6333600E-05,9.13652E-04
2.6516800E-05,9.47832E-04
2.6700000E-05,9.33184E-04
2.6883200E-05,9.13652E-04
2.7066400E-05,-8.24414E-05
2.7249600E-05,-1.89648E-05
2.7432800E-05,-8.73242E-05
2.7616000E-05,-6.29102E-05
2.7799200E-05,-7.26758E-05
2.7982400E-05,-8.24414E-05
2.8165600E-05,-7.26758E-05
2.8348800E-05,-5.80273E-05
2.8532000E-05,-4.82617E-05
2.8715200E-05,-3.84961E-05
2.8898400E-05,-8.24414E-05
2.9081600E-05,-6.29102E-05
2.9264800E-05,-9.22070E-05
2.9448000E-05,-6.29102E-05
2.9631200E-05,-7.26758E-05
2.9814400E-05,-9.70898E-05
2.9997600E-05,-7.26758E-05
3.0180800E-05,-5.80273E-05
