in s,M2 in V
-2.150004E-01,-1.5795288E+00
-2.149908E-01,-1.5794373E+00
-2.149812E-01,-1.5794067E+00
-2.149716E-01,-1.5794373E+00
-2.149620E-01,-1.5794983E+00
-2.149524E-01,-1.5794373E+00
-2.149428E-01,-1.5795288E+00
-2.149332E-01,-1.5795288E+00
-2.149236E-01,-1.5795593E+00
-2.149140E-01,-1.5794373E+00
-2.149044E-01,-1.5797119E+00
-2.148948E-01,-1.5797424E+00
-2.148852E-01,-1.5796509E+00
-2.148756E-01,-1.5796509E+00
-2.148660E-01,-1.5795593E+00
-2.148564E-01,-1.5794983E+00
-2.148468E-01,-1.5794678E+00
-2.148372E-01,-1.5793762E+00
-2.148276E-01,-1.5792847E+00
-2.148180E-01,-1.5792847E+00
-2.148084E-01,-1.5792847E+00
-2.147988E-01,-1.5793457E+00
-2.147892E-01,-1.5793762E+00
-2.147796E-01,-1.5794678E+00
-2.147700E-01,-1.5794983E+00
-2.147604E-01,-1.5795288E+00
-2.147508E-01,-1.5795288E+00
-2.147412E-01,-1.5794983E+00
-2.147316E-01,-1.5794983E+00
-2.147220E-01,-1.5795288E+00
-2.147124E-01,-1.5796204E+00
-2.147028E-01,-1.5797119E+00
-2.146932E-01,-1.5796204E+00
-2.146836E-01,-1.5795288E+00
-2.146740E-01,-1.5794678E+00
-2.146644E-01,-1.5794373E+00
-2.146548E-01,-1.5794678E+00
-2.146452E-01,-1.5794067E+00
-2.146356E-01,-1.5795288E+00
-2.146260E-01,-1.5796814E+00
-2.146164E-01,-1.5796204E+00
-2.146068E-01,-1.5794983E+00
-2.145972E-01,-1.5795898E+00
-2.145876E-01,-1.5796814E+00
-2.145780E-01,-1.5797729E+00
-2.145684E-01,-1.5796814E+00
-2.145588E-01,-1.5794373E+00
-2.145492E-01,-1.5794983E+00
-2.145396E-01,-1.5796509E+00
-2.145300E-01,-1.5796204E+00
-2.145204E-01,-1.5794983E+00
-2.145108E-01,-1.5794678E+00
-2.145012E-01,-1.5794678E+00
-2.144916E-01,-1.5795288E+00
-2.144820E-01,-1.5794678E+00
-2.144724E-01,-1.5795593E+00
-2.144628E-01,-1.5795898E+00
-2.144532E-01,-1.5795288E+00
-2.144436E-01,-1.5796204E+00
-2.144340E-01,-1.5796814E+00
-2.144244E-01,-1.5796204E+00
-2.144148E-01,-1.5795288E+00
-2.144052E-01,-1.5795288E+00
-2.143956E-01,-1.5794373E+00
-2.143860E-01,-1.5795593E+00
-2.143764E-01,-1.5794983E+00
-2.143668E-01,-1.5794983E+00
-2.143572E-01,-1.5795288E+00
-2.143476E-01,-1.5796204E+00
-2.143380E-01,-1.5797119E+00
-2.143284E-01,-1.5796204E+00
-2.143188E-01,-1.5797729E+00
-2.143092E-01,-1.5797119E+00
-2.142996E-01,-1.5797424E+00
-2.142900E-01,-1.5797119E+00
-2.142804E-01,-1.5796509E+00
-2.142708E-01,-1.5796509E+00
-2.142612E-01,-1.5796814E+00
-2.142516E-01,-1.5796509E+00
-2.142420E-01,-1.5795898E+00
-2.142324E-01,-1.5794678E+00
-2.142228E-01,-1.5794983E+00
-2.142132E-01,-1.5794678E+00
-2.142036E-01,-1.5795593E+00
-2.141940E-01,-1.5795288E+00
-2.141844E-01,-1.5794067E+00
-2.141748E-01,-1.5793762E+00
-2.141652E-01,-1.5794373E+00
-2.141556E-01,-1.5793457E+00
-2.141460E-01,-1.5794983E+00
-2.141364E-01,-1.5794983E+00
-2.141268E-01,-1.5794373E+00
-2.141172E-01,-1.5793152E+00
-2.141076E-01,-1.5794983E+00
-2.140980E-01,-1.5795288E+00
-2.140884E-01,-1.5795898E+00
-2.140788E-01,-1.5795898E+00
-2.140692E-01,-1.5794678E+00
-2.140596E-01,-1.5794983E+00
-2.140500E-01,-1.5794983E+00
-2.140404E-01,-1.5794678E+00
-2.140308E-01,-1.5792542E+00
-2.140212E-01,-1.5793152E+00
-2.140116E-01,-1.5792542E+00
-2.140020E-01,-1.5793152E+00
-2.139924E-01,-1.5794983E+00
-2.139828E-01,-1.5795593E+00
-2.139732E-01,-1.5795898E+00
-2.139636E-01,-1.5795593E+00
-2.139540E-01,-1.5795593E+00
-2.139444E-01,-1.5795288E+00
-2.139348E-01,-1.5795898E+00
-2.139252E-01,-1.5796509E+00
-2.139156E-01,-1.5797119E+00
-2.139060E-01,-1.5796509E+00
-2.138964E-01,-1.5796204E+00
-2.138868E-01,-1.5796204E+00
-2.138772E-01,-1.5795898E+00
-2.138676E-01,-1.5796204E+00
-2.138580E-01,-1.5796204E+00
-2.138484E-01,-1.5795898E+00
-2.138388E-01,-1.5797424E+00
-2.138292E-01,-1.5797424E+00
-2.138196E-01,-1.5796814E+00
-2.138100E-01,-1.5796509E+00
-2.138004E-01,-1.5794678E+00
-2.137908E-01,-1.5796204E+00
-2.137812E-01,-1.5795898E+00
-2.137716E-01,-1.5797119E+00
-2.137620E-01,-1.5797119E+00
-2.137524E-01,-1.5795593E+00
-2.137428E-01,-1.5794678E+00
-2.137332E-01,-1.5794373E+00
-2.137236E-01,-1.5793762E+00
-2.137140E-01,-1.5794067E+00
-2.137044E-01,-1.5795288E+00
-2.136948E-01,-1.5795898E+00
-2.136852E-01,-1.5796204E+00
-2.136756E-01,-1.5795288E+00
-2.136660E-01,-1.5795593E+00
-2.136564E-01,-1.5795288E+00
-2.136468E-01,-1.5795593E+00
-2.136372E-01,-1.5795288E+00
-2.136276E-01,-1.5796204E+00
-2.136180E-01,-1.5797119E+00
-2.136084E-01,-1.5796204E+00
-2.135988E-01,-1.5795898E+00
-2.135892E-01,-1.5794983E+00
-2.135796E-01,-1.5794983E+00
-2.135700E-01,-1.5795288E+00
-2.135604E-01,-1.5795288E+00
-2.135508E-01,-1.5795593E+00
-2.135412E-01,-1.5794983E+00
-2.135316E-01,-1.5794678E+00
-2.135220E-01,-1.5794067E+00
-2.135124E-01,-1.5795593E+00
-2.135028E-01,-1.5795593E+00
-2.134932E-01,-1.5795593E+00
-2.134836E-01,-1.5795288E+00
-2.134740E-01,-1.5794678E+00
-2.134644E-01,-1.5794678E+00
-2.134548E-01,-1.5794067E+00
-2.134452E-01,-1.5794678E+00
-2.134356E-01,-1.5794983E+00
-2.134260E-01,-1.5793762E+00
-2.134164E-01,-1.5793762E+00
-2.134068E-01,-1.5793762E+00
-2.133972E-01,-1.5793457E+00
-2.133876E-01,-1.5793762E+00
-2.133780E-01,-1.5794678E+00
-2.133684E-01,-1.5794678E+00
-2.133588E-01,-1.5794678E+00
-2.133492E-01,-1.5794678E+00
-2.133396E-01,-1.5794678E+00
-2.133300E-01,-1.5795288E+00
-2.133204E-01,-1.5795593E+00
-2.133108E-01,-1.5794678E+00
-2.133012E-01,-1.5794678E+00
-2.132916E-01,-1.5795898E+00
-2.132820E-01,-1.5796814E+00
-2.132724E-01,-1.5795898E+00
-2.132628E-01,-1.5795898E+00
-2.132532E-01,-1.5794678E+00
-2.132436E-01,-1.5796204E+00
-2.132340E-01,-1.5797119E+00
-2.132244E-01,-1.5795898E+00
-2.132148E-01,-1.5796204E+00
-2.132052E-01,-1.5795288E+00
-2.131956E-01,-1.5796204E+00
-2.131860E-01,-1.5796509E+00
-2.131764E-01,-1.5795288E+00
-2.131668E-01,-1.5794983E+00
-2.131572E-01,-1.5795288E+00
-2.131476E-01,-1.5794983E+00
-2.131380E-01,-1.5795593E+00
-2.131284E-01,-1.5795288E+00
-2.131188E-01,-1.5795593E+00
-2.131092E-01,-1.5795288E+00
-2.130996E-01,-1.5796814E+00
-2.130900E-01,-1.5795898E+00
-2.130804E-01,-1.5795288E+00
-2.130708E-01,-1.5795288E+00
-2.130612E-01,-1.5795288E+00
-2.130516E-01,-1.5795593E+00
-2.130420E-01,-1.5795593E+00
-2.130324E-01,-1.5794373E+00
-2.130228E-01,-1.5795898E+00
-2.130132E-01,-1.5796204E+00
-2.130036E-01,-1.5796814E+00
-2.129940E-01,-1.5798035E+00
-2.129844E-01,-1.5797729E+00
-2.129748E-01,-1.5795898E+00
-2.129652E-01,-1.5795593E+00
-2.129556E-01,-1.5795593E+00
-2.129460E-01,-1.5795593E+00
-2.129364E-01,-1.5794983E+00
-2.129268E-01,-1.5796204E+00
-2.129172E-01,-1.5794373E+00
-2.129076E-01,-1.5794373E+00
-2.128980E-01,-1.5794067E+00
-2.128884E-01,-1.5793762E+00
-2.128788E-01,-1.5794373E+00
