amp_mean ampl_sigm gain_set abs_gain
65316.5 68.76 1 202.4
99630.1 64.28 55 308.7
65331.5 68.99 1 202.4
99649.5 65.82 55 308.7
99649.6 66.8 55 308.7
93166.3 58.87 50 288.7
45240.4 30.6 20 140.2
62482.6 42.26 30 193.6
78355.9 51.76 40 242.8
45238.8 30.54 20 140.2
93161.7 55.91 50 288.6
93158.4 58.53 50 288.6
45237.7 30.95 20 140.2
65318.2 69.89 1 202.4
62485.4 43.39 30 193.6
15441.2 24.8 5 47.84
93177 57.62 50 288.7
45242.7 31.85 20 140.2
78350.4 51.3 40 242.8
78358.6 54.29 40 242.8
62480 42.93 30 193.6
15440 23.55 5 47.84
62482.5 43.53 30 193.6
15438.1 23.72 5 47.83
15440.3 23.33 5 47.84
78367.2 52.65 40 242.8
25936 27 10 80.36
25935.8 28.05 10 80.36
99651.3 64.44 55 308.8
25936.2 27.2 10 80.36
25934.7 27.94 10 80.35
65322.6 70.38 1 202.4
