inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00197069 9.64969e-06 14946 0.949113
0.00197069 9.64969e-06 14948.277 0.918524
0.00197069 9.64969e-06 14947.906 0.94388
0.00197069 9.64969e-06 14948.306 0.907912
0.00592958 1.14101e-05 53546.086 1.51022
0.00889875 1.35027e-05 92089.946 1.33898
0.00889875 1.35027e-05 92087.011 1.39381
0.00395014 1.0345e-05 32344.552 1.35932
0.00889875 1.35027e-05 92081.635 1.51273
0.00493986 1.08372e-05 42365.799 1.54321
0.00493986 1.08372e-05 42377.287 1.64991
0.0069193 1.2052e-05 65665.89 1.64601
0.0069193 1.2052e-05 65664.466 1.66362
0.0069193 1.2052e-05 65670.056 1.6859
0.00296041 9.94531e-06 23222.289 1.15114
0.00790902 1.27526e-05 78630.119 1.54174
0.00493986 1.08372e-05 42379.174 1.59672
0.000980971 9.46789e-06 7247.5085 0.849667
0.000980971 9.46789e-06 7247.4798 0.858344
0.0069193 1.2052e-05 65667.673 1.58706
0.00790902 1.27526e-05 78641.043 1.50884
0.00790902 1.27526e-05 78652.227 1.56919
0.000980971 9.46789e-06 7246.3195 0.863433
0.00296041 9.94531e-06 23228.316 1.12799
0.00296041 9.94531e-06 23224.714 1.11052
0.00296041 9.94531e-06 23225.826 1.0676
0.000980971 9.46789e-06 7247.8094 0.830569
0.00493986 1.08372e-05 42380.346 1.54641
0.00790902 1.27526e-05 78641.834 1.4999
0.00889875 1.35027e-05 92086.938 1.41425
0.00592958 1.14101e-05 53537.55 1.48392
0.00395014 1.0345e-05 32328.082 1.37704
0.00592958 1.14101e-05 53534.945 1.47538
0.00395014 1.0345e-05 32328.914 1.3539
0.00889875 1.35027e-05 92111.201 1.36671
0.00395014 1.0345e-05 32331.991 1.36809
0.00592958 1.14101e-05 53547.201 1.43698
