inp_Ampl inp_AmplErr out_Ampl outp_AmplErr
0.00197069 9.64969e-06 7464.0211 0.492532
0.0069193 1.2052e-05 26041.654 0.625648
0.0197857 2.34924e-05 73611.36 0.621994
0.0069193 1.2052e-05 26044.766 0.643405
0.0069193 1.2052e-05 26043.788 0.638609
0.00889875 1.35027e-05 33445.002 0.594053
0.0197857 2.34924e-05 73606.504 0.610729
0.00197069 9.64969e-06 7463.5064 0.49365
0.00197069 9.64969e-06 7464.0718 0.497461
0.00493986 1.08372e-05 18605.66 0.558137
0.00889875 1.35027e-05 33439.653 0.632371
0.00395014 1.0345e-05 14896.335 0.532247
0.00988847 1.42946e-05 37119.375 0.534665
0.00493986 1.08372e-05 18605.437 0.564408
0.00296041 9.94531e-06 11179.674 0.510298
0.00988847 1.42946e-05 37120.062 0.548161
0.00395014 1.0345e-05 14896.596 0.520499
0.00889875 1.35027e-05 33441.365 0.586732
0.00988847 1.42946e-05 37119.046 0.528934
0.0118679 1.59784e-05 44465.855 0.693841
0.00790902 1.27526e-05 29740.83 0.676385
0.00790902 1.27526e-05 29740.731 0.739391
0.0118679 1.59784e-05 44469.036 0.676567
0.00790902 1.27526e-05 29739.312 0.708242
0.0118679 1.59784e-05 44467.88 0.713147
0.00790902 1.27526e-05 29742.268 0.690591
0.00493986 1.08372e-05 18608.039 0.556435
0.00197069 9.64969e-06 7464.0444 0.481951
0.00592958 1.14101e-05 22314.373 0.569432
0.0118679 1.59784e-05 44471.442 0.697139
0.0108782 1.51217e-05 40803.66 0.559503
0.0108782 1.51217e-05 40804.411 0.589912
0.00493986 1.08372e-05 18606.564 0.561388
0.00592958 1.14101e-05 22313.496 0.56228
0.00592958 1.14101e-05 22315.785 0.570629
0.0108782 1.51217e-05 40800.593 0.566823
0.00592958 1.14101e-05 22314.795 0.580506
0.00988847 1.42946e-05 37120.883 0.536984
0.00395014 1.0345e-05 14896.164 0.538517
0.00889875 1.35027e-05 33439.396 0.601516
0.00395014 1.0345e-05 14894.36 0.524156
0.00296041 9.94531e-06 11179.793 0.505925
0.00296041 9.94531e-06 11179.723 0.508754
0.0197857 2.34924e-05 73609.104 0.651116
0.0197857 2.34924e-05 73604.735 0.608934
0.00296041 9.94531e-06 11178.142 0.533145
0.0069193 1.2052e-05 26042.717 0.640667
